Program Type,Total Facilities,Total Capacity
Licensed Day Care Home,1861,18654
Group Day Care Home,1387,16685
Preschool,115,2826
Child Care Center,653,53079
Head Start Center,47,1927
School Age Programs for Children and Youth,376,34492
Drop In Program for School Age Children and Youth,69,14206
Child Care Resource and Referral Agency,8,N/A
